Bait	Prey	#Rep	#Pep	#Frag	AvgP	BFDR
MEPCE	gi|189491748|gn|ATXN1:6310| ataxin-1 [Homo sapiens]	3	1	5	0.2957880	0.3737020
EIF4A2	gi|190341074|gn|PDXDC1:23042| pyridoxal-dependent decarboxylase domain-containing protein 1 [Homo sapiens]	3	1	5	0.0746215	0.5740310
MEPCE	gi|190341074|gn|PDXDC1:23042| pyridoxal-dependent decarboxylase domain-containing protein 1 [Homo sapiens]	3	1	5	0.3048142	0.3665493
EIF4A2	gi|190885499|gn|COX5A:9377| cytochrome c oxidase subunit 5A, mitochondrial precursor [Homo sapiens]	3	1	5	0.3582345	0.3136961
MEPCE	gi|190885499|gn|COX5A:9377| cytochrome c oxidase subunit 5A, mitochondrial precursor [Homo sapiens]	3	1	5	0.3220214	0.3469871
EIF4A2	gi|192807336|gn|SRRT:51593| serrate RNA effector molecule homolog isoform e [Homo sapiens]	3	5	5|5|5|5|5	0.4313890	0.2485858
MEPCE	gi|192807336|gn|SRRT:51593| serrate RNA effector molecule homolog isoform e [Homo sapiens]	3	5	5|5|5|5|5	0.4415883	0.2405784
EIF4A2	gi|193083112|gn|PCBP2:5094| poly(rC)-binding protein 2 isoform f [Homo sapiens]	3	2	5|5	0.9983935	0.0002447
MEPCE	gi|193083112|gn|PCBP2:5094| poly(rC)-binding protein 2 isoform f [Homo sapiens]	3	2	5|5	0.5168687	0.1824957
EIF4A2	gi|193211600|gn|PPM1A:5494| protein phosphatase 1A isoform 3 [Homo sapiens]	3	6	5|5|5|5|5|5	0.0237425	0.6097014
MEPCE	gi|193211600|gn|PPM1A:5494| protein phosphatase 1A isoform 3 [Homo sapiens]	3	6	5|5|5|5|5|5	0.0059337	0.6310949
EIF4A2	gi|194018520|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 1 [Homo sapiens]	3	1	5	0.0027163	0.6372806
MEPCE	gi|194018520|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 1 [Homo sapiens]	3	1	5	0.0103361	0.6247589
EIF4A2	gi|194018522|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 3 [Homo sapiens]	3	2	5|5	0.1685669	0.4944658
MEPCE	gi|194018522|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 3 [Homo sapiens]	3	2	5|5	0.1971275	0.4681532
EIF4A2	gi|194018537|gn|PRPSAP1:5635| phosphoribosyl pyrophosphate synthase-associated protein 1 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.2427221	0.4243054
MEPCE	gi|194018537|gn|PRPSAP1:5635| phosphoribosyl pyrophosphate synthase-associated protein 1 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.1749512	0.4872620
EIF4A2	gi|194097323|gn|ECHS1:1892| enoyl-CoA hydratase, mitochondrial [Homo sapiens]	3	5	5|5|4|5|5	0.4542978	0.2289139
MEPCE	gi|194097323|gn|ECHS1:1892| enoyl-CoA hydratase, mitochondrial [Homo sapiens]	3	5	5|5|4|5|5	0.4543529	0.2284721
EIF4A2	gi|194272210|gn|KARS:3735| lysine--tRNA ligase isoform 1 [Homo sapiens]	3	3	5|5|5	0.3131496	0.3564714
MEPCE	gi|194272210|gn|KARS:3735| lysine--tRNA ligase isoform 1 [Homo sapiens]	3	3	5|5|5	0.1444004	0.5164220
EIF4A2	gi|194294508|gn|KIFC3:3801| kinesin-like protein KIFC3 isoform 3 [Homo sapiens]	3	1	5	0.0016149	0.6399468
MEPCE	gi|194294508|gn|KIFC3:3801| kinesin-like protein KIFC3 isoform 3 [Homo sapiens]	3	1	5	0.0136417	0.6192343
EIF4A2	gi|194294548|gn|HSPBP1:23640| hsp70-binding protein 1 [Homo sapiens]	3	1	5	0.1118930	0.5451770
MEPCE	gi|194294548|gn|HSPBP1:23640| hsp70-binding protein 1 [Homo sapiens]	3	1	5	0.1362662	0.5230915
EIF4A2	gi|194306559|gn|KLC1:3831| kinesin light chain 1 isoform 3 [Homo sapiens]	3	4	5|5|5|5	0.1116176	0.5453606
MEPCE	gi|194306559|gn|KLC1:3831| kinesin light chain 1 isoform 3 [Homo sapiens]	3	4	5|5|5|5	0.1213193	0.5364530
EIF4A2	gi|194328734|gn|PHF10:55274| PHD finger protein 10 isoform a [Homo sapiens]	3	1	5	0.2599961	0.4075563
MEPCE	gi|194328734|gn|PHF10:55274| PHD finger protein 10 isoform a [Homo sapiens]	3	1	5	0.5972531	0.1397923
EIF4A2	gi|194578907|gn|EIF4E:1977| eukaryotic translation initiation factor 4E isoform 3 [Homo sapiens]	3	3	5|5|5	0.9843444	0.0024441
MEPCE	gi|194578907|gn|EIF4E:1977| eukaryotic translation initiation factor 4E isoform 3 [Homo sapiens]	3	3	5|5|5	0.2507186	0.4157817
EIF4A2	gi|195222722|gn|LSM5:23658| U6 snRNA-associated Sm-like protein LSm5 isoform b [Homo sapiens]	3	1	5	0.2054695	0.4606450
MEPCE	gi|195222722|gn|LSM5:23658| U6 snRNA-associated Sm-like protein LSm5 isoform b [Homo sapiens]	3	1	5	0.7539784	0.0676867
EIF4A2	gi|195539356|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 2 [Homo sapiens]	3	7	5|5|5|10|5|5|5	0.1534771	0.5080201
MEPCE	gi|195539356|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 2 [Homo sapiens]	3	7	5|5|5|10|5|5|5	0.1628006	0.4998725
EIF4A2	gi|195539395|gn|PSMC6:5706| 26S protease regulatory subunit 10B [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.2529505	0.4136761
MEPCE	gi|195539395|gn|PSMC6:5706| 26S protease regulatory subunit 10B [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.1325910	0.5271449
EIF4A2	gi|195546900|gn|SUPT5H:6829| transcription elongation factor SPT5 isoform a [Homo sapiens]	3	3	5|5|5	0.0733106	0.5750693
MEPCE	gi|195546900|gn|SUPT5H:6829| transcription elongation factor SPT5 isoform a [Homo sapiens]	3	3	5|5|5	0.0388942	0.5983066
EIF4A2	gi|19557656|gn|HIST1H2AB:8335| histone H2A type 1-B/E [Homo sapiens]	3	2	5|10	0.4681757	0.2163257
MEPCE	gi|19557656|gn|HIST1H2AB:8335| histone H2A type 1-B/E [Homo sapiens]	3	2	5|10	0.7822172	0.0553935
EIF4A2	gi|195927004|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 4 [Homo sapiens]	3	2	5|5	0.0111042	0.6233487
MEPCE	gi|195927004|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 4 [Homo sapiens]	3	2	5|5	0.2623947	0.4056736
EIF4A2	gi|195927006|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 5 precursor [Homo sapiens]	3	4	5|5|5|5	0.0897447	0.5623349
MEPCE	gi|195927006|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 5 precursor [Homo sapiens]	3	4	5|5|5|5	0.2145788	0.4541981
EIF4A2	gi|195927044|gn|RTCA:8634| RNA 3'-terminal phosphate cyclase isoform a [Homo sapiens]	3	1	5	0.2006689	0.4640764
MEPCE	gi|195927044|gn|RTCA:8634| RNA 3'-terminal phosphate cyclase isoform a [Homo sapiens]	3	1	5	0.3484752	0.3217070
EIF4A2	gi|195976805|gn|HYOU1:10525| hypoxia up-regulated protein 1 precursor [Homo sapiens]	3	4	5|5|5|5	0.4086909	0.2654762
MEPCE	gi|195976805|gn|HYOU1:10525| hypoxia up-regulated protein 1 precursor [Homo sapiens]	3	4	5|5|5|5	0.2881253	0.3807296
EIF4A2	gi|197276600|gn|MAP4:4134| microtubule-associated protein 4 isoform 4 [Homo sapiens]	3	1	5	0.0142912	0.6181144
MEPCE	gi|197276600|gn|MAP4:4134| microtubule-associated protein 4 isoform 4 [Homo sapiens]	3	1	5	0.1309418	0.5290591
EIF4A2	gi|197304708|gn|C7orf50:84310| uncharacterized protein C7orf50 [Homo sapiens]	3	1	5	0.2579805	0.4096912
MEPCE	gi|197304708|gn|C7orf50:84310| uncharacterized protein C7orf50 [Homo sapiens]	3	1	5	0.9117809	0.0178695
EIF4A2	gi|197382708|gn|EIF4E3:317649| eukaryotic translation initiation factor 4E type 3 isoform a [Homo sapiens]	3	1	5	0.9999989	0.0000001
MEPCE	gi|197382708|gn|EIF4E3:317649| eukaryotic translation initiation factor 4E type 3 isoform a [Homo sapiens]	3	1	5	0.2734482	0.3932893
EIF4A2	gi|198041728|gn|KLC2:64837| kinesin light chain 2 isoform 2 [Homo sapiens]	3	2	5|5	0.1262962	0.5328627
MEPCE	gi|198041728|gn|KLC2:64837| kinesin light chain 2 isoform 2 [Homo sapiens]	3	2	5|5	0.0811133	0.5703878
EIF4A2	gi|19913424|gn|ATP6V1A:523| V-type proton ATPase catalytic subunit A [Homo sapiens]	3	3	5|5|5	0.0537368	0.5887279
MEPCE	gi|19913424|gn|ATP6V1A:523| V-type proton ATPase catalytic subunit A [Homo sapiens]	3	3	5|5|5	0.2549041	0.4112896
EIF4A2	gi|19913426|gn|ATP6V1B1:525| V-type proton ATPase subunit B, kidney isoform [Homo sapiens]	3	1	5	0.2906680	0.3775257
MEPCE	gi|19913426|gn|ATP6V1B1:525| V-type proton ATPase subunit B, kidney isoform [Homo sapiens]	3	1	5	0.2628512	0.4045931
EIF4A2	gi|19913428|gn|ATP6V1B2:526| V-type proton ATPase subunit B, brain isoform [Homo sapiens]	3	2	5|5	0.1877114	0.4757386
MEPCE	gi|19913428|gn|ATP6V1B2:526| V-type proton ATPase subunit B, brain isoform [Homo sapiens]	3	2	5|5	0.2772629	0.3899080
EIF4A2	gi|19923142|gn|KPNB1:3837| importin subunit beta-1 [Homo sapiens]	3	24	5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|10	0.3287156	0.3401995
MEPCE	gi|19923142|gn|KPNB1:3837| importin subunit beta-1 [Homo sapiens]	3	24	5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|10	0.9990461	0.0001486
EIF4A2	gi|19923193|gn|ST13:6767| hsc70-interacting protein [Homo sapiens]	3	6	5|5|5|5|5|5	0.2713802	0.3955247
MEPCE	gi|19923193|gn|ST13:6767| hsc70-interacting protein [Homo sapiens]	3	6	5|5|5|5|5|5	0.3639798	0.3080151
EIF4A2	gi|19923855|gn|SYAP1:94056| synapse-associated protein 1 [Homo sapiens]	3	1	5	0.2281709	0.4416669
MEPCE	gi|19923855|gn|SYAP1:94056| synapse-associated protein 1 [Homo sapiens]	3	1	5	0.0383503	0.5989739
EIF4A2	gi|20070125|gn|P4HB:5034| protein disulfide-isomerase precursor [Homo sapiens]	3	12	5|5|10|5|5|5|5|5|5|5|5|5	0.4167929	0.2585403
MEPCE	gi|20070125|gn|P4HB:5034| protein disulfide-isomerase precursor [Homo sapiens]	3	12	5|5|10|5|5|5|5|5|5|5|5|5	0.2514497	0.4149935
EIF4A2	gi|20127408|gn|HADHA:3030| trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]	3	5	5|5|5|5|5	0.5753622	0.1511649
MEPCE	gi|20127408|gn|HADHA:3030| trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]	3	5	5|5|5|5|5	0.2282719	0.4411853
EIF4A2	gi|20127454|gn|ATIC:471| bifunctional purine biosynthesis protein PURH [Homo sapiens]	3	1	5	0.7793607	0.0572040
MEPCE	gi|20127454|gn|ATIC:471| bifunctional purine biosynthesis protein PURH [Homo sapiens]	3	1	5	0.0401062	0.5973034
EIF4A2	gi|20127499|gn|SRSF6:6431| serine/arginine-rich splicing factor 6 [Homo sapiens]	3	1	5	0.6460677	0.1162337
MEPCE	gi|20127499|gn|SRSF6:6431| serine/arginine-rich splicing factor 6 [Homo sapiens]	3	1	5	0.4597204	0.2235805
EIF4A2	gi|20270253|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 1 [Homo sapiens]	3	1	5	0.4579041	0.2249222
MEPCE	gi|20270253|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 1 [Homo sapiens]	3	1	5	0.0657768	0.5803928
EIF4A2	gi|20270371|gn|CMBL:134147| carboxymethylenebutenolidase homolog [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|5|5|5	0.3290771	0.3395437
MEPCE	gi|20270371|gn|CMBL:134147| carboxymethylenebutenolidase homolog [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|5|5|5	0.1615372	0.5017232
EIF4A2	gi|20336294|gn|DHX30:22907| putative ATP-dependent RNA helicase DHX30 isoform 1 [Homo sapiens]	3	1	5	0.8595988	0.0301019
MEPCE	gi|20336294|gn|DHX30:22907| putative ATP-dependent RNA helicase DHX30 isoform 1 [Homo sapiens]	3	1	5	0.5305785	0.1736995
EIF4A2	gi|20544168|gn|HIST1H1T:3010| histone H1t [Homo sapiens]	3	4	5|5|5|5	0.6904841	0.0902295
MEPCE	gi|20544168|gn|HIST1H1T:3010| histone H1t [Homo sapiens]	3	4	5|5|5|5	0.9906213	0.0013326
EIF4A2	gi|207442675|gn|RAB1A:5861| ras-related protein Rab-1A isoform 2 [Homo sapiens]	3	1	5	0.3441528	0.3247987
MEPCE	gi|207442675|gn|RAB1A:5861| ras-related protein Rab-1A isoform 2 [Homo sapiens]	3	1	5	0.0127080	0.6211416
EIF4A2	gi|207452735|gn|EPPK1:83481| epiplakin [Homo sapiens]	3	17	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5	0.8795108	0.0224520
MEPCE	gi|207452735|gn|EPPK1:83481| epiplakin [Homo sapiens]	3	17	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5	0.8783016	0.0231574
EIF4A2	gi|208022658|gn|GLB1:2720| beta-galactosidase isoform c preproprotein [Homo sapiens]	3	3	5|5|5	0.3683780	0.3040679
MEPCE	gi|208022658|gn|GLB1:2720| beta-galactosidase isoform c preproprotein [Homo sapiens]	3	3	5|5|5	0.6756163	0.0978099
EIF4A2	gi|208431836|gn|PABPC4:8761| polyadenylate-binding protein 4 isoform 3 [Homo sapiens]	3	33	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9991964	0.0001187
MEPCE	gi|208431836|gn|PABPC4:8761| polyadenylate-binding protein 4 isoform 3 [Homo sapiens]	3	33	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.6453882	0.1172139
EIF4A2	gi|208609990|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 1 [Homo sapiens]	3	2	5|5	0.0711480	0.5766226
MEPCE	gi|208609990|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 1 [Homo sapiens]	3	2	5|5	0.0944300	0.5585923
EIF4A2	gi|208879470|gn|EEF1E1:9521| eukaryotic translation elongation factor 1 epsilon-1 isoform 2 [Homo sapiens]	3	1	5	0.3122521	0.3583298
MEPCE	gi|208879470|gn|EEF1E1:9521| eukaryotic translation elongation factor 1 epsilon-1 isoform 2 [Homo sapiens]	3	1	5	0.4723402	0.2131148
EIF4A2	gi|208973242|gn|YWHAZ:7534| 14-3-3 protein zeta/delta [Homo sapiens]	3	9	5|5|5|5|10|5|5|5|10	0.2935433	0.3748814
MEPCE	gi|208973242|gn|YWHAZ:7534| 14-3-3 protein zeta/delta [Homo sapiens]	3	9	5|5|5|5|10|5|5|5|10	0.3479031	0.3223959
EIF4A2	gi|20911035|gn|PPIL4:85313| peptidyl-prolyl cis-trans isomerase-like 4 [Homo sapiens]	3	12	5|5|10|5|5|5|5|5|5|5|5|5	0.3742529	0.2967485
MEPCE	gi|20911035|gn|PPIL4:85313| peptidyl-prolyl cis-trans isomerase-like 4 [Homo sapiens]	3	12	5|5|10|5|5|5|5|5|5|5|5|5	0.3416624	0.3275275
EIF4A2	gi|209862831|gn|ANXA2:302| annexin A2 isoform 2 [Homo sapiens]	3	3	5|5|5	0.3253437	0.3450630
MEPCE	gi|209862831|gn|ANXA2:302| annexin A2 isoform 2 [Homo sapiens]	3	3	5|5|5	0.5042835	0.1911590
EIF4A2	gi|209869995|gn|GART:2618| trifunctional purine biosynthetic protein adenosine-3 isoform 1 [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|5|10|5	0.2527524	0.4139401
MEPCE	gi|209869995|gn|GART:2618| trifunctional purine biosynthetic protein adenosine-3 isoform 1 [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|5|10|5	0.3308140	0.3372347
EIF4A2	gi|209915588|gn|RPL28:6158| 60S ribosomal protein L28 isoform 5 [Homo sapiens]	3	2	5|5	0.5376663	0.1717462
MEPCE	gi|209915588|gn|RPL28:6158| 60S ribosomal protein L28 isoform 5 [Homo sapiens]	3	2	5|5	0.9686965	0.0058617
EIF4A2	gi|209969700|gn|CCDC124:115098| coiled-coil domain-containing protein 124 [Homo sapiens]	3	7	5|5|5|5|10|5|5	0.1050930	0.5495725
MEPCE	gi|209969700|gn|CCDC124:115098| coiled-coil domain-containing protein 124 [Homo sapiens]	3	7	5|5|5|5|10|5|5	0.1203764	0.5372045
EIF4A2	gi|209969703|gn|RCC2:55920| protein RCC2 [Homo sapiens]	3	5	5|5|5|5|5	0.2512561	0.4155193
MEPCE	gi|209969703|gn|RCC2:55920| protein RCC2 [Homo sapiens]	3	5	5|5|5|5|5	0.3599450	0.3112232
EIF4A2	gi|210032790|gn|FAM184B:27146| protein FAM184B [Homo sapiens]	3	1	5	0.0274090	0.6067515
MEPCE	gi|210032790|gn|FAM184B:27146| protein FAM184B [Homo sapiens]	3	1	5	0.0011761	0.6414137
EIF4A2	gi|210147571|gn|ANP32E:81611| acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 3 [Homo sapiens]	3	1	5	0.0281189	0.6060927
MEPCE	gi|210147571|gn|ANP32E:81611| acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 3 [Homo sapiens]	3	1	5	0.4200475	0.2560658
EIF4A2	gi|21070976|gn|DIABLO:56616| diablo homolog, mitochondrial isoform 3 precursor [Homo sapiens]	3	5	5|5|5|5|5	0.1877405	0.4755172
MEPCE	gi|21070976|gn|DIABLO:56616| diablo homolog, mitochondrial isoform 3 precursor [Homo sapiens]	3	5	5|5|5|5|5	0.1907483	0.4735219
EIF4A2	gi|212276104|gn|LRRFIP1:9208| leucine-rich repeat flightless-interacting protein 1 isoform 5 [Homo sapiens]	3	2	5|5	0.2675343	0.3994059
MEPCE	gi|212276104|gn|LRRFIP1:9208| leucine-rich repeat flightless-interacting protein 1 isoform 5 [Homo sapiens]	3	2	5|5	0.2281805	0.4414263
EIF4A2	gi|212276121|gn|MCTS1:28985| malignant T-cell-amplified sequence 1 isoform 2 [Homo sapiens]	3	1	5	0.5951044	0.1417632
MEPCE	gi|212276121|gn|MCTS1:28985| malignant T-cell-amplified sequence 1 isoform 2 [Homo sapiens]	3	1	5	0.7565996	0.0667630
EIF4A2	gi|212549555|gn|ILF3:3609| interleukin enhancer-binding factor 3 isoform e [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.9686623	0.0059876
MEPCE	gi|212549555|gn|ILF3:3609| interleukin enhancer-binding factor 3 isoform e [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.8673283	0.0264337
EIF4A2	gi|21265070|gn|MRPL2:51069| 39S ribosomal protein L2, mitochondrial [Homo sapiens]	3	1	5	0.0408622	0.5962973
MEPCE	gi|21265070|gn|MRPL2:51069| 39S ribosomal protein L2, mitochondrial [Homo sapiens]	3	1	5	0.0348230	0.6013040
EIF4A2	gi|21327701|gn|TAF15:8148| TATA-binding protein-associated factor 2N isoform 1 [Homo sapiens]	3	3	5|5|5	0.3839925	0.2900087
MEPCE	gi|21327701|gn|TAF15:8148| TATA-binding protein-associated factor 2N isoform 1 [Homo sapiens]	3	3	5|5|5	0.3774027	0.2926351
EIF4A2	gi|21328448|gn|YWHAB:7529| 14-3-3 protein beta/alpha [Homo sapiens]	3	4	5|5|5|5	0.1564955	0.5064046
MEPCE	gi|21328448|gn|YWHAB:7529| 14-3-3 protein beta/alpha [Homo sapiens]	3	4	5|5|5|5	0.1440238	0.5166195
EIF4A2	gi|213511508|gn|BCAP31:10134| B-cell receptor-associated protein 31 isoform a [Homo sapiens]	3	2	5|5	0.2233270	0.4469140
MEPCE	gi|213511508|gn|BCAP31:10134| B-cell receptor-associated protein 31 isoform a [Homo sapiens]	3	2	5|5	0.1742768	0.4874764
EIF4A2	gi|21359945|gn|NCAPG:64151| condensin complex subunit 3 [Homo sapiens]	3	2	5|5	0.2986680	0.3713314
MEPCE	gi|21359945|gn|NCAPG:64151| condensin complex subunit 3 [Homo sapiens]	3	2	5|5	0.2497237	0.4170906
EIF4A2	gi|21359951|gn|RBM42:79171| RNA-binding protein 42 [Homo sapiens]	3	1	5	0.8513354	0.0327463
MEPCE	gi|21359951|gn|RBM42:79171| RNA-binding protein 42 [Homo sapiens]	3	1	5	0.9990247	0.0001565
EIF4A2	gi|21361091|gn|UCHL1:7345| ubiquitin carboxyl-terminal hydrolase isozyme L1 [Homo sapiens]	3	1	5	0.0175850	0.6152207
MEPCE	gi|21361091|gn|UCHL1:7345| ubiquitin carboxyl-terminal hydrolase isozyme L1 [Homo sapiens]	3	1	5	0.0137706	0.6187549
EIF4A2	gi|21361144|gn|PSMC3:5702| 26S protease regulatory subunit 6A [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.1775403	0.4861910
MEPCE	gi|21361144|gn|PSMC3:5702| 26S protease regulatory subunit 6A [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.1491993	0.5114423
EIF4A2	gi|21361282|gn|SRSF4:6429| serine/arginine-rich splicing factor 4 [Homo sapiens]	3	3	5|5|5	0.6724304	0.1013367
MEPCE	gi|21361282|gn|SRSF4:6429| serine/arginine-rich splicing factor 4 [Homo sapiens]	3	3	5|5|5	0.6058214	0.1348129
EIF4A2	gi|21361322|gn|TUBB4A:10382| tubulin beta-4A chain [Homo sapiens]	3	5	5|5|5|5|5	0.0177753	0.6148977
MEPCE	gi|21361322|gn|TUBB4A:10382| tubulin beta-4A chain [Homo sapiens]	3	5	5|5|5|5|5	0.0231477	0.6103548
EIF4A2	gi|21361356|gn|TOMM34:10953| mitochondrial import receptor subunit TOM34 [Homo sapiens]	3	1	5	0.1568066	0.5062024
MEPCE	gi|21361356|gn|TOMM34:10953| mitochondrial import receptor subunit TOM34 [Homo sapiens]	3	1	5	0.0368576	0.5996400
EIF4A2	gi|21361376|gn|SF3A2:8175| splicing factor 3A subunit 2 [Homo sapiens]	3	2	5|5	0.1653929	0.4978019
MEPCE	gi|21361376|gn|SF3A2:8175| splicing factor 3A subunit 2 [Homo sapiens]	3	2	5|5	0.0096395	0.6256948
EIF4A2	gi|21361399|gn|PPP2R1A:5518| serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Homo sapiens]	3	13	5|5|5|10|5|5|5|5|5|10|5|5|5	0.2782648	0.3890576
MEPCE	gi|21361399|gn|PPP2R1A:5518| serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Homo sapiens]	3	13	5|5|5|10|5|5|5|5|5|10|5|5|5	0.2178168	0.4499858
EIF4A2	gi|21361576|gn|ZCCHC17:51538| nucleolar protein of 40 kDa [Homo sapiens]	3	1	5	0.0056348	0.6314002
MEPCE	gi|21361576|gn|ZCCHC17:51538| nucleolar protein of 40 kDa [Homo sapiens]	3	1	5	0.1661530	0.4965548
EIF4A2	gi|21361657|gn|PDIA3:2923| protein disulfide-isomerase A3 precursor [Homo sapiens]	3	12	5|5|5|5|5|5|5|5|5|5|5|5	0.3534279	0.3175524
MEPCE	gi|21361657|gn|PDIA3:2923| protein disulfide-isomerase A3 precursor [Homo sapiens]	3	12	5|5|5|5|5|5|5|5|5|5|5|5	0.3962599	0.2777824
EIF4A2	gi|21361659|gn|IPO9:55705| importin-9 [Homo sapiens]	3	1	5	0.2834175	0.3841947
MEPCE	gi|21361659|gn|IPO9:55705| importin-9 [Homo sapiens]	3	1	5	0.2137890	0.4551254
EIF4A2	gi|21361684|gn|GPATCH1:55094| G patch domain-containing protein 1 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.3071112	0.3635298
MEPCE	gi|21361684|gn|GPATCH1:55094| G patch domain-containing protein 1 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.2269589	0.4433442
EIF4A2	gi|21361794|gn|CAND1:55832| cullin-associated NEDD8-dissociated protein 1 [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|5|5|5	0.2888076	0.3801499
MEPCE	gi|21361794|gn|CAND1:55832| cullin-associated NEDD8-dissociated protein 1 [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|5|5|5	0.2327371	0.4355881
EIF4A2	gi|21361875|gn|LTV1:84946| protein LTV1 homolog [Homo sapiens]	3	2	5|5	0.2174479	0.4504572
MEPCE	gi|21361875|gn|LTV1:84946| protein LTV1 homolog [Homo sapiens]	3	2	5|5	0.2422469	0.4250708
EIF4A2	gi|213688375|gn|ACTA2:59| actin, aortic smooth muscle [Homo sapiens]	3	2	5|5	0.1437198	0.5172116
MEPCE	gi|213688375|gn|ACTA2:59| actin, aortic smooth muscle [Homo sapiens]	3	2	5|5	0.0159373	0.6166691
EIF4A2	gi|21389407|gn|HEXIM2:124790| protein HEXIM2 [Homo sapiens]	3	1	5	0.4941289	0.1992178
MEPCE	gi|21389407|gn|HEXIM2:124790| protein HEXIM2 [Homo sapiens]	3	1	5	0.9153268	0.0168253
EIF4A2	gi|21396489|gn|LONP1:9361| lon protease homolog, mitochondrial [Homo sapiens]	3	7	4|5|5|5|5|5|5	0.5029734	0.1925908
MEPCE	gi|21396489|gn|LONP1:9361| lon protease homolog, mitochondrial [Homo sapiens]	3	7	4|5|5|5|5|5|5	0.3849083	0.2888807
EIF4A2	gi|214010212|gn|ARCN1:372| coatomer subunit delta isoform 2 [Homo sapiens]	3	3	5|5|5	0.0324964	0.6036224
MEPCE	gi|214010212|gn|ARCN1:372| coatomer subunit delta isoform 2 [Homo sapiens]	3	3	5|5|5	0.0274987	0.6064221
EIF4A2	gi|214010226|gn|RPS24:6229| 40S ribosomal protein S24 isoform d [Homo sapiens]	3	4	5|5|5|5	0.9787717	0.0034171
MEPCE	gi|214010226|gn|RPS24:6229| 40S ribosomal protein S24 isoform d [Homo sapiens]	3	4	5|5|5|5	0.7085776	0.0847529
EIF4A2	gi|21464101|gn|YWHAG:7532| 14-3-3 protein gamma [Homo sapiens]	3	6	5|5|5|5|5|5	0.3396107	0.3305638
MEPCE	gi|21464101|gn|YWHAG:7532| 14-3-3 protein gamma [Homo sapiens]	3	6	5|5|5|5|5|5	0.3835676	0.2903838
EIF4A2	gi|21493022|gn|AKAP12:9590| A-kinase anchor protein 12 isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.2928672	0.3757654
MEPCE	gi|21493022|gn|AKAP12:9590| A-kinase anchor protein 12 isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.2478893	0.4196893
EIF4A2	gi|21536286|gn|CKB:1152| creatine kinase B-type [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1218104	0.5355109
MEPCE	gi|21536286|gn|CKB:1152| creatine kinase B-type [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.0892414	0.5635725
