Bait	Prey	#Rep	#Pep	AvgP	BFDR
EIF4A2	gi|194578907|gn|EIF4E:1977| eukaryotic translation initiation factor 4E isoform 3 [Homo sapiens]	3	3	0.9962005	0.0003060
MEPCE	gi|194578907|gn|EIF4E:1977| eukaryotic translation initiation factor 4E isoform 3 [Homo sapiens]	3	3	0.3396775	0.2703301
EIF4A2	gi|195222722|gn|LSM5:23658| U6 snRNA-associated Sm-like protein LSm5 isoform b [Homo sapiens]	3	1	0.0853798	0.5016160
MEPCE	gi|195222722|gn|LSM5:23658| U6 snRNA-associated Sm-like protein LSm5 isoform b [Homo sapiens]	3	1	0.4214651	0.2104878
EIF4A2	gi|195539356|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 2 [Homo sapiens]	3	7	0.1180726	0.4723969
MEPCE	gi|195539356|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 2 [Homo sapiens]	3	7	0.1299753	0.4578081
EIF4A2	gi|195539395|gn|PSMC6:5706| 26S protease regulatory subunit 10B [Homo sapiens]	3	11	0.1944158	0.4001626
MEPCE	gi|195539395|gn|PSMC6:5706| 26S protease regulatory subunit 10B [Homo sapiens]	3	11	0.0270827	0.5658551
EIF4A2	gi|195546900|gn|SUPT5H:6829| transcription elongation factor SPT5 isoform a [Homo sapiens]	3	3	0.0140328	0.5906695
MEPCE	gi|195546900|gn|SUPT5H:6829| transcription elongation factor SPT5 isoform a [Homo sapiens]	3	3	0.0046414	0.6266274
EIF4A2	gi|19557656|gn|HIST1H2AB:8335| histone H2A type 1-B/E [Homo sapiens]	3	2	0.6667161	0.0854428
MEPCE	gi|19557656|gn|HIST1H2AB:8335| histone H2A type 1-B/E [Homo sapiens]	3	2	0.8406822	0.0231610
EIF4A2	gi|195927004|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 4 [Homo sapiens]	3	2	0.0013573	0.6502953
MEPCE	gi|195927004|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 4 [Homo sapiens]	3	2	0.1455406	0.4441321
EIF4A2	gi|195927006|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 5 precursor [Homo sapiens]	3	4	0.0142213	0.5902715
MEPCE	gi|195927006|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 5 precursor [Homo sapiens]	3	4	0.0935721	0.4945866
EIF4A2	gi|195927044|gn|RTCA:8634| RNA 3'-terminal phosphate cyclase isoform a [Homo sapiens]	3	1	0.0192426	0.5773832
MEPCE	gi|195927044|gn|RTCA:8634| RNA 3'-terminal phosphate cyclase isoform a [Homo sapiens]	3	1	0.1242031	0.4660175
EIF4A2	gi|195976805|gn|HYOU1:10525| hypoxia up-regulated protein 1 precursor [Homo sapiens]	3	4	0.4128101	0.2171625
MEPCE	gi|195976805|gn|HYOU1:10525| hypoxia up-regulated protein 1 precursor [Homo sapiens]	3	4	0.1934398	0.4014602
EIF4A2	gi|197276600|gn|MAP4:4134| microtubule-associated protein 4 isoform 4 [Homo sapiens]	3	1	0.0015702	0.6484949
MEPCE	gi|197276600|gn|MAP4:4134| microtubule-associated protein 4 isoform 4 [Homo sapiens]	3	1	0.1883408	0.4059636
EIF4A2	gi|197304708|gn|C7orf50:84310| uncharacterized protein C7orf50 [Homo sapiens]	3	1	0.0161837	0.5836026
MEPCE	gi|197304708|gn|C7orf50:84310| uncharacterized protein C7orf50 [Homo sapiens]	3	1	1.0000000	0.0000000
EIF4A2	gi|197382708|gn|EIF4E3:317649| eukaryotic translation initiation factor 4E type 3 isoform a [Homo sapiens]	3	1	1.0000000	0.0000000
MEPCE	gi|197382708|gn|EIF4E3:317649| eukaryotic translation initiation factor 4E type 3 isoform a [Homo sapiens]	3	1	0.3471232	0.2650917
EIF4A2	gi|198041728|gn|KLC2:64837| kinesin light chain 2 isoform 2 [Homo sapiens]	3	2	0.0097599	0.6049447
MEPCE	gi|198041728|gn|KLC2:64837| kinesin light chain 2 isoform 2 [Homo sapiens]	3	2	0.0028995	0.6376309
EIF4A2	gi|19913424|gn|ATP6V1A:523| V-type proton ATPase catalytic subunit A [Homo sapiens]	3	3	0.0102298	0.6021232
MEPCE	gi|19913424|gn|ATP6V1A:523| V-type proton ATPase catalytic subunit A [Homo sapiens]	3	3	0.2392963	0.3615274
EIF4A2	gi|19913426|gn|ATP6V1B1:525| V-type proton ATPase subunit B, kidney isoform [Homo sapiens]	3	1	0.3349223	0.2759264
MEPCE	gi|19913426|gn|ATP6V1B1:525| V-type proton ATPase subunit B, kidney isoform [Homo sapiens]	3	1	0.1727902	0.4183468
EIF4A2	gi|19913428|gn|ATP6V1B2:526| V-type proton ATPase subunit B, brain isoform [Homo sapiens]	3	2	0.0430256	0.5475619
MEPCE	gi|19913428|gn|ATP6V1B2:526| V-type proton ATPase subunit B, brain isoform [Homo sapiens]	3	2	0.1355276	0.4531994
EIF4A2	gi|19923142|gn|KPNB1:3837| importin subunit beta-1 [Homo sapiens]	3	24	0.2199728	0.3765194
MEPCE	gi|19923142|gn|KPNB1:3837| importin subunit beta-1 [Homo sapiens]	3	24	1.0000000	0.0000000
EIF4A2	gi|19923193|gn|ST13:6767| hsc70-interacting protein [Homo sapiens]	3	6	0.2933940	0.3145426
MEPCE	gi|19923193|gn|ST13:6767| hsc70-interacting protein [Homo sapiens]	3	6	0.3378445	0.2729231
EIF4A2	gi|19923855|gn|SYAP1:94056| synapse-associated protein 1 [Homo sapiens]	3	1	0.3359582	0.2742123
MEPCE	gi|19923855|gn|SYAP1:94056| synapse-associated protein 1 [Homo sapiens]	3	1	0.0208425	0.5759122
EIF4A2	gi|20070125|gn|P4HB:5034| protein disulfide-isomerase precursor [Homo sapiens]	3	12	0.2712142	0.3332424
MEPCE	gi|20070125|gn|P4HB:5034| protein disulfide-isomerase precursor [Homo sapiens]	3	12	0.3270917	0.2872139
EIF4A2	gi|20127408|gn|HADHA:3030| trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]	3	5	0.6763804	0.0761161
MEPCE	gi|20127408|gn|HADHA:3030| trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]	3	5	0.1203407	0.4699131
EIF4A2	gi|20127454|gn|ATIC:471| bifunctional purine biosynthesis protein PURH [Homo sapiens]	3	1	0.6612736	0.0902356
MEPCE	gi|20127454|gn|ATIC:471| bifunctional purine biosynthesis protein PURH [Homo sapiens]	3	1	0.0264839	0.5669417
EIF4A2	gi|20127499|gn|SRSF6:6431| serine/arginine-rich splicing factor 6 [Homo sapiens]	3	1	0.4741669	0.1778663
MEPCE	gi|20127499|gn|SRSF6:6431| serine/arginine-rich splicing factor 6 [Homo sapiens]	3	1	0.1939981	0.4004875
EIF4A2	gi|20270253|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 1 [Homo sapiens]	3	1	0.1509874	0.4417728
MEPCE	gi|20270253|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 1 [Homo sapiens]	3	1	0.0090714	0.6069908
EIF4A2	gi|20270371|gn|CMBL:134147| carboxymethylenebutenolidase homolog [Homo sapiens]	3	13	0.3542463	0.2602652
MEPCE	gi|20270371|gn|CMBL:134147| carboxymethylenebutenolidase homolog [Homo sapiens]	3	13	0.1048565	0.4864062
EIF4A2	gi|20336294|gn|DHX30:22907| putative ATP-dependent RNA helicase DHX30 isoform 1 [Homo sapiens]	3	1	0.4925185	0.1695163
MEPCE	gi|20336294|gn|DHX30:22907| putative ATP-dependent RNA helicase DHX30 isoform 1 [Homo sapiens]	3	1	0.2790322	0.3275942
EIF4A2	gi|20544168|gn|HIST1H1T:3010| histone H1t [Homo sapiens]	3	4	0.8695871	0.0187523
MEPCE	gi|20544168|gn|HIST1H1T:3010| histone H1t [Homo sapiens]	3	4	0.9999933	0.0000004
EIF4A2	gi|207442675|gn|RAB1A:5861| ras-related protein Rab-1A isoform 2 [Homo sapiens]	3	1	0.0223919	0.5738012
MEPCE	gi|207442675|gn|RAB1A:5861| ras-related protein Rab-1A isoform 2 [Homo sapiens]	3	1	0.0042686	0.6284760
EIF4A2	gi|207452735|gn|EPPK1:83481| epiplakin [Homo sapiens]	3	17	0.9642209	0.0029535
MEPCE	gi|207452735|gn|EPPK1:83481| epiplakin [Homo sapiens]	3	17	0.9553521	0.0043274
EIF4A2	gi|208022658|gn|GLB1:2720| beta-galactosidase isoform c preproprotein [Homo sapiens]	3	3	0.1722318	0.4186602
MEPCE	gi|208022658|gn|GLB1:2720| beta-galactosidase isoform c preproprotein [Homo sapiens]	3	3	0.6304740	0.1040250
EIF4A2	gi|208431836|gn|PABPC4:8761| polyadenylate-binding protein 4 isoform 3 [Homo sapiens]	3	33	1.0000000	0.0000000
MEPCE	gi|208431836|gn|PABPC4:8761| polyadenylate-binding protein 4 isoform 3 [Homo sapiens]	3	33	0.7451269	0.0478361
EIF4A2	gi|208609990|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 1 [Homo sapiens]	3	2	0.0110317	0.5988796
MEPCE	gi|208609990|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 1 [Homo sapiens]	3	2	0.0836682	0.5036752
EIF4A2	gi|208879470|gn|EEF1E1:9521| eukaryotic translation elongation factor 1 epsilon-1 isoform 2 [Homo sapiens]	3	1	0.2883682	0.3191929
MEPCE	gi|208879470|gn|EEF1E1:9521| eukaryotic translation elongation factor 1 epsilon-1 isoform 2 [Homo sapiens]	3	1	0.5746840	0.1274776
EIF4A2	gi|208973242|gn|YWHAZ:7534| 14-3-3 protein zeta/delta [Homo sapiens]	3	9	0.3031053	0.3054829
MEPCE	gi|208973242|gn|YWHAZ:7534| 14-3-3 protein zeta/delta [Homo sapiens]	3	9	0.4426139	0.1968907
EIF4A2	gi|20911035|gn|PPIL4:85313| peptidyl-prolyl cis-trans isomerase-like 4 [Homo sapiens]	3	12	0.4023799	0.2228588
MEPCE	gi|20911035|gn|PPIL4:85313| peptidyl-prolyl cis-trans isomerase-like 4 [Homo sapiens]	3	12	0.2651915	0.3392001
EIF4A2	gi|209862831|gn|ANXA2:302| annexin A2 isoform 2 [Homo sapiens]	3	3	0.2239344	0.3734224
MEPCE	gi|209862831|gn|ANXA2:302| annexin A2 isoform 2 [Homo sapiens]	3	3	0.3167174	0.2933649
EIF4A2	gi|209869995|gn|GART:2618| trifunctional purine biosynthetic protein adenosine-3 isoform 1 [Homo sapiens]	3	13	0.1516938	0.4399974
MEPCE	gi|209869995|gn|GART:2618| trifunctional purine biosynthetic protein adenosine-3 isoform 1 [Homo sapiens]	3	13	0.3749953	0.2437265
EIF4A2	gi|209915588|gn|RPL28:6158| 60S ribosomal protein L28 isoform 5 [Homo sapiens]	3	2	0.5092034	0.1580227
MEPCE	gi|209915588|gn|RPL28:6158| 60S ribosomal protein L28 isoform 5 [Homo sapiens]	3	2	0.9335126	0.0073879
EIF4A2	gi|209969700|gn|CCDC124:115098| coiled-coil domain-containing protein 124 [Homo sapiens]	3	7	0.0464122	0.5438765
MEPCE	gi|209969700|gn|CCDC124:115098| coiled-coil domain-containing protein 124 [Homo sapiens]	3	7	0.0858947	0.5010988
EIF4A2	gi|209969703|gn|RCC2:55920| protein RCC2 [Homo sapiens]	3	5	0.1783595	0.4133021
MEPCE	gi|209969703|gn|RCC2:55920| protein RCC2 [Homo sapiens]	3	5	0.4278647	0.2051855
EIF4A2	gi|210032790|gn|FAM184B:27146| protein FAM184B [Homo sapiens]	3	1	0.0019375	0.6451480
MEPCE	gi|210032790|gn|FAM184B:27146| protein FAM184B [Homo sapiens]	3	1	0.0002598	0.6639491
EIF4A2	gi|210147571|gn|ANP32E:81611| acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 3 [Homo sapiens]	3	1	0.0223204	0.5740130
MEPCE	gi|210147571|gn|ANP32E:81611| acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 3 [Homo sapiens]	3	1	0.4660759	0.1847635
EIF4A2	gi|21070976|gn|DIABLO:56616| diablo homolog, mitochondrial isoform 3 precursor [Homo sapiens]	3	5	0.0414779	0.5500692
MEPCE	gi|21070976|gn|DIABLO:56616| diablo homolog, mitochondrial isoform 3 precursor [Homo sapiens]	3	5	0.0525004	0.5363881
EIF4A2	gi|212276104|gn|LRRFIP1:9208| leucine-rich repeat flightless-interacting protein 1 isoform 5 [Homo sapiens]	3	2	0.2986743	0.3094464
MEPCE	gi|212276104|gn|LRRFIP1:9208| leucine-rich repeat flightless-interacting protein 1 isoform 5 [Homo sapiens]	3	2	0.0753566	0.5137992
EIF4A2	gi|212276121|gn|MCTS1:28985| malignant T-cell-amplified sequence 1 isoform 2 [Homo sapiens]	3	1	0.6756276	0.0766161
MEPCE	gi|212276121|gn|MCTS1:28985| malignant T-cell-amplified sequence 1 isoform 2 [Homo sapiens]	3	1	0.6631703	0.0878458
EIF4A2	gi|212549555|gn|ILF3:3609| interleukin enhancer-binding factor 3 isoform e [Homo sapiens]	3	9	1.0000000	0.0000000
MEPCE	gi|212549555|gn|ILF3:3609| interleukin enhancer-binding factor 3 isoform e [Homo sapiens]	3	9	0.9998921	0.0000042
EIF4A2	gi|21265070|gn|MRPL2:51069| 39S ribosomal protein L2, mitochondrial [Homo sapiens]	3	1	0.0024421	0.6401695
MEPCE	gi|21265070|gn|MRPL2:51069| 39S ribosomal protein L2, mitochondrial [Homo sapiens]	3	1	0.0015951	0.6480420
EIF4A2	gi|21327701|gn|TAF15:8148| TATA-binding protein-associated factor 2N isoform 1 [Homo sapiens]	3	3	0.1587157	0.4322006
MEPCE	gi|21327701|gn|TAF15:8148| TATA-binding protein-associated factor 2N isoform 1 [Homo sapiens]	3	3	0.2171313	0.3802706
EIF4A2	gi|21328448|gn|YWHAB:7529| 14-3-3 protein beta/alpha [Homo sapiens]	3	4	0.1345721	0.4543549
MEPCE	gi|21328448|gn|YWHAB:7529| 14-3-3 protein beta/alpha [Homo sapiens]	3	4	0.1113474	0.4808082
EIF4A2	gi|213511508|gn|BCAP31:10134| B-cell receptor-associated protein 31 isoform a [Homo sapiens]	3	2	0.3158855	0.2941817
MEPCE	gi|213511508|gn|BCAP31:10134| B-cell receptor-associated protein 31 isoform a [Homo sapiens]	3	2	0.1690867	0.4227113
EIF4A2	gi|21359945|gn|NCAPG:64151| condensin complex subunit 3 [Homo sapiens]	3	2	0.0682082	0.5214608
MEPCE	gi|21359945|gn|NCAPG:64151| condensin complex subunit 3 [Homo sapiens]	3	2	0.0422832	0.5491600
EIF4A2	gi|21359951|gn|RBM42:79171| RNA-binding protein 42 [Homo sapiens]	3	1	0.9287057	0.0081503
MEPCE	gi|21359951|gn|RBM42:79171| RNA-binding protein 42 [Homo sapiens]	3	1	0.9999543	0.0000021
EIF4A2	gi|21361091|gn|UCHL1:7345| ubiquitin carboxyl-terminal hydrolase isozyme L1 [Homo sapiens]	3	1	0.0009076	0.6550120
MEPCE	gi|21361091|gn|UCHL1:7345| ubiquitin carboxyl-terminal hydrolase isozyme L1 [Homo sapiens]	3	1	0.0004876	0.6598915
EIF4A2	gi|21361144|gn|PSMC3:5702| 26S protease regulatory subunit 6A [Homo sapiens]	3	10	0.1027940	0.4874666
MEPCE	gi|21361144|gn|PSMC3:5702| 26S protease regulatory subunit 6A [Homo sapiens]	3	10	0.0717263	0.5172760
EIF4A2	gi|21361282|gn|SRSF4:6429| serine/arginine-rich splicing factor 4 [Homo sapiens]	3	3	0.7160371	0.0569077
MEPCE	gi|21361282|gn|SRSF4:6429| serine/arginine-rich splicing factor 4 [Homo sapiens]	3	3	0.6280554	0.1045051
EIF4A2	gi|21361322|gn|TUBB4A:10382| tubulin beta-4A chain [Homo sapiens]	3	5	0.0079032	0.6110274
MEPCE	gi|21361322|gn|TUBB4A:10382| tubulin beta-4A chain [Homo sapiens]	3	5	0.0021921	0.6420520
EIF4A2	gi|21361356|gn|TOMM34:10953| mitochondrial import receptor subunit TOM34 [Homo sapiens]	3	1	0.0242365	0.5710345
MEPCE	gi|21361356|gn|TOMM34:10953| mitochondrial import receptor subunit TOM34 [Homo sapiens]	3	1	0.0067423	0.6157051
EIF4A2	gi|21361376|gn|SF3A2:8175| splicing factor 3A subunit 2 [Homo sapiens]	3	2	0.1519883	0.4397005
MEPCE	gi|21361376|gn|SF3A2:8175| splicing factor 3A subunit 2 [Homo sapiens]	3	2	0.0022513	0.6414266
EIF4A2	gi|21361399|gn|PPP2R1A:5518| serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Homo sapiens]	3	13	0.1915857	0.4040392
MEPCE	gi|21361399|gn|PPP2R1A:5518| serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Homo sapiens]	3	13	0.1152788	0.4770370
EIF4A2	gi|21361576|gn|ZCCHC17:51538| nucleolar protein of 40 kDa [Homo sapiens]	3	1	0.0004448	0.6613014
MEPCE	gi|21361576|gn|ZCCHC17:51538| nucleolar protein of 40 kDa [Homo sapiens]	3	1	0.1292635	0.4598094
EIF4A2	gi|21361657|gn|PDIA3:2923| protein disulfide-isomerase A3 precursor [Homo sapiens]	3	12	0.2626243	0.3417775
MEPCE	gi|21361657|gn|PDIA3:2923| protein disulfide-isomerase A3 precursor [Homo sapiens]	3	12	0.3344850	0.2772044
EIF4A2	gi|21361659|gn|IPO9:55705| importin-9 [Homo sapiens]	3	1	0.1105366	0.4818803
MEPCE	gi|21361659|gn|IPO9:55705| importin-9 [Homo sapiens]	3	1	0.1607584	0.4306831
EIF4A2	gi|21361684|gn|GPATCH1:55094| G patch domain-containing protein 1 [Homo sapiens]	3	8	0.0807758	0.5067475
MEPCE	gi|21361684|gn|GPATCH1:55094| G patch domain-containing protein 1 [Homo sapiens]	3	8	0.0619736	0.5268195
EIF4A2	gi|21361794|gn|CAND1:55832| cullin-associated NEDD8-dissociated protein 1 [Homo sapiens]	3	13	0.2696873	0.3347391
MEPCE	gi|21361794|gn|CAND1:55832| cullin-associated NEDD8-dissociated protein 1 [Homo sapiens]	3	13	0.1877491	0.4066043
EIF4A2	gi|21361875|gn|LTV1:84946| protein LTV1 homolog [Homo sapiens]	3	2	0.1100586	0.4824150
MEPCE	gi|21361875|gn|LTV1:84946| protein LTV1 homolog [Homo sapiens]	3	2	0.1396812	0.4491271
EIF4A2	gi|213688375|gn|ACTA2:59| actin, aortic smooth muscle [Homo sapiens]	3	2	0.1383053	0.4505858
MEPCE	gi|213688375|gn|ACTA2:59| actin, aortic smooth muscle [Homo sapiens]	3	2	0.0123980	0.5950038
EIF4A2	gi|21389407|gn|HEXIM2:124790| protein HEXIM2 [Homo sapiens]	3	1	0.2505615	0.3519168
MEPCE	gi|21389407|gn|HEXIM2:124790| protein HEXIM2 [Homo sapiens]	3	1	0.7697858	0.0409804
EIF4A2	gi|21396489|gn|LONP1:9361| lon protease homolog, mitochondrial [Homo sapiens]	3	7	0.4851438	0.1754138
MEPCE	gi|21396489|gn|LONP1:9361| lon protease homolog, mitochondrial [Homo sapiens]	3	7	0.3050925	0.3022817
EIF4A2	gi|214010212|gn|ARCN1:372| coatomer subunit delta isoform 2 [Homo sapiens]	3	3	0.0831872	0.5039320
MEPCE	gi|214010212|gn|ARCN1:372| coatomer subunit delta isoform 2 [Homo sapiens]	3	3	0.0691685	0.5202355
EIF4A2	gi|214010226|gn|RPS24:6229| 40S ribosomal protein S24 isoform d [Homo sapiens]	3	4	0.9535145	0.0047320
MEPCE	gi|214010226|gn|RPS24:6229| 40S ribosomal protein S24 isoform d [Homo sapiens]	3	4	0.6365928	0.1016320
EIF4A2	gi|21464101|gn|YWHAG:7532| 14-3-3 protein gamma [Homo sapiens]	3	6	0.4641464	0.1867119
MEPCE	gi|21464101|gn|YWHAG:7532| 14-3-3 protein gamma [Homo sapiens]	3	6	0.5858138	0.1225296
EIF4A2	gi|21493022|gn|AKAP12:9590| A-kinase anchor protein 12 isoform 1 [Homo sapiens]	3	5	0.2589558	0.3457877
MEPCE	gi|21493022|gn|AKAP12:9590| A-kinase anchor protein 12 isoform 1 [Homo sapiens]	3	5	0.2583709	0.3468741
EIF4A2	gi|21536286|gn|CKB:1152| creatine kinase B-type [Homo sapiens]	3	14	0.2092398	0.3876670
MEPCE	gi|21536286|gn|CKB:1152| creatine kinase B-type [Homo sapiens]	3	14	0.0647498	0.5241475
EIF4A2	gi|21536326|gn|HNRNPUL1:11100| heterogeneous nuclear ribonucleoprotein U-like protein 1 isoform a [Homo sapiens]	3	8	0.6883458	0.0680502
MEPCE	gi|21536326|gn|HNRNPUL1:11100| heterogeneous nuclear ribonucleoprotein U-like protein 1 isoform a [Homo sapiens]	3	8	1.0000000	0.0000000
EIF4A2	gi|21536449|gn|PFDN1:5201| prefoldin subunit 1 [Homo sapiens]	3	1	0.0339979	0.5581662
MEPCE	gi|21536449|gn|PFDN1:5201| prefoldin subunit 1 [Homo sapiens]	3	1	0.0010538	0.6529635
EIF4A2	gi|215490011|gn|AIMP1:9255| aminoacyl tRNA synthase complex-interacting multifunctional protein 1 isoform b precursor [Homo sapiens]	3	1	0.0029851	0.6373112
MEPCE	gi|215490011|gn|AIMP1:9255| aminoacyl tRNA synthase complex-interacting multifunctional protein 1 isoform b precursor [Homo sapiens]	3	1	0.0009816	0.6541369
EIF4A2	gi|215490037|gn|MORF4L2:9643| mortality factor 4-like protein 2 [Homo sapiens]	3	1	0.0000843	0.6657378
MEPCE	gi|215490037|gn|MORF4L2:9643| mortality factor 4-like protein 2 [Homo sapiens]	3	1	0.0018283	0.6460667
EIF4A2	gi|215490056|gn|MGEA5:10724| bifunctional protein NCOAT isoform b [Homo sapiens]	3	1	0.1135026	0.4789270
MEPCE	gi|215490056|gn|MGEA5:10724| bifunctional protein NCOAT isoform b [Homo sapiens]	3	1	0.1618916	0.4300759
EIF4A2	gi|21614513|gn|ALDH1L1:10840| cytosolic 10-formyltetrahydrofolate dehydrogenase isoform 2 [Homo sapiens]	3	4	0.3560801	0.2593860
MEPCE	gi|21614513|gn|ALDH1L1:10840| cytosolic 10-formyltetrahydrofolate dehydrogenase isoform 2 [Homo sapiens]	3	4	0.3031569	0.3050843
EIF4A2	gi|21700763|gn|HN1L:90861| hematological and neurological expressed 1-like protein [Homo sapiens]	3	3	0.0010667	0.6528162
MEPCE	gi|21700763|gn|HN1L:90861| hematological and neurological expressed 1-like protein [Homo sapiens]	3	3	0.0001506	0.6650520
EIF4A2	gi|217035107|gn|CPSF7:79869| cleavage and polyadenylation specificity factor subunit 7 isoform 3 [Homo sapiens]	3	4	0.4445149	0.1954262
MEPCE	gi|217035107|gn|CPSF7:79869| cleavage and polyadenylation specificity factor subunit 7 isoform 3 [Homo sapiens]	3	4	0.4453865	0.1949375
EIF4A2	gi|217035152|gn|IMPDH1:3614| inosine-5'-monophosphate dehydrogenase 1 isoform d [Homo sapiens]	3	2	0.0193462	0.5771733
MEPCE	gi|217035152|gn|IMPDH1:3614| inosine-5'-monophosphate dehydrogenase 1 isoform d [Homo sapiens]	3	2	0.0136212	0.5924519
EIF4A2	gi|217330646|gn|SUB1:10923| activated RNA polymerase II transcriptional coactivator p15 [Homo sapiens]	3	10	0.0459586	0.5441077
MEPCE	gi|217330646|gn|SUB1:10923| activated RNA polymerase II transcriptional coactivator p15 [Homo sapiens]	3	10	0.2943507	0.3137631
EIF4A2	gi|21735621|gn|MDH2:4191| malate dehydrogenase, mitochondrial precursor [Homo sapiens]	3	9	0.2845993	0.3226447
MEPCE	gi|21735621|gn|MDH2:4191| malate dehydrogenase, mitochondrial precursor [Homo sapiens]	3	9	0.4814923	0.1759015
EIF4A2	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	3	0.2066073	0.3896643
MEPCE	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	3	0.4703681	0.1808345
EIF4A2	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	1	0.0710555	0.5177706
MEPCE	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	1	0.1175797	0.4732213
EIF4A2	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	4	0.0121259	0.5955890
MEPCE	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	4	0.0117325	0.5961731
EIF4A2	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	2	0.0550531	0.5337790
MEPCE	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	2	0.6261102	0.1069079
EIF4A2	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	1	1.0000000	0.0000000
MEPCE	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	1	0.1194643	0.4710188
EIF4A2	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	2	0.2194561	0.3778879
MEPCE	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	2	0.5804898	0.1245029
EIF4A2	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	22	0.3047979	0.3034864
MEPCE	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	22	1.0000000	0.0000000
EIF4A2	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	9	0.0245610	0.5706067
MEPCE	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	9	0.0186369	0.5786387
EIF4A2	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	1	0.0013186	0.6507427
MEPCE	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	1	0.2957382	0.3114122
EIF4A2	gi|22202633|gn|PFDN5:5204| prefoldin subunit 5 isoform alpha [Homo sapiens]	3	1	0.3856165	0.2354627
MEPCE	gi|22202633|gn|PFDN5:5204| prefoldin subunit 5 isoform alpha [Homo sapiens]	3	1	0.0849342	0.5029046
EIF4A2	gi|22202637|gn|PFDN5:5204| prefoldin subunit 5 isoform gamma [Homo sapiens]	3	2	0.5394800	0.1391658
MEPCE	gi|22202637|gn|PFDN5:5204| prefoldin subunit 5 isoform gamma [Homo sapiens]	3	2	0.3248927	0.2876246
EIF4A2	gi|22208967|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform a [Homo sapiens]	3	1	0.0004180	0.6614417
MEPCE	gi|22208967|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform a [Homo sapiens]	3	1	0.0087005	0.6088348
EIF4A2	gi|22208979|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform b [Homo sapiens]	3	1	0.0050552	0.6242502
MEPCE	gi|22208979|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform b [Homo sapiens]	3	1	0.0163869	0.5827814
EIF4A2	gi|222136639|gn|MTHFD1:4522| C-1-tetrahydrofolate synthase, cytoplasmic [Homo sapiens]	3	26	0.5937311	0.1175875
MEPCE	gi|222136639|gn|MTHFD1:4522| C-1-tetrahydrofolate synthase, cytoplasmic [Homo sapiens]	3	26	0.5640653	0.1314610
EIF4A2	gi|222144262|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 3 [Homo sapiens]	3	2	0.0013592	0.6501460
MEPCE	gi|222144262|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 3 [Homo sapiens]	3	2	0.0017969	0.6463720
