Bait	Prey	#Rep	AvgP	BFDR
MEPCE	gi|215490037|gn|MORF4L2:9643| mortality factor 4-like protein 2 [Homo sapiens]	3	0.0000409	0.6867991
EIF4A2	gi|215490056|gn|MGEA5:10724| bifunctional protein NCOAT isoform b [Homo sapiens]	3	0.0793022	0.3952991
MEPCE	gi|215490056|gn|MGEA5:10724| bifunctional protein NCOAT isoform b [Homo sapiens]	3	0.1153336	0.3601452
EIF4A2	gi|21614513|gn|ALDH1L1:10840| cytosolic 10-formyltetrahydrofolate dehydrogenase isoform 2 [Homo sapiens]	3	0.3768545	0.1748411
MEPCE	gi|21614513|gn|ALDH1L1:10840| cytosolic 10-formyltetrahydrofolate dehydrogenase isoform 2 [Homo sapiens]	3	0.3234318	0.2424353
EIF4A2	gi|21700763|gn|HN1L:90861| hematological and neurological expressed 1-like protein [Homo sapiens]	3	0.0000026	0.7210557
MEPCE	gi|21700763|gn|HN1L:90861| hematological and neurological expressed 1-like protein [Homo sapiens]	3	0.0000000	0.7353576
EIF4A2	gi|217035107|gn|CPSF7:79869| cleavage and polyadenylation specificity factor subunit 7 isoform 3 [Homo sapiens]	3	0.5750372	0.1103861
MEPCE	gi|217035107|gn|CPSF7:79869| cleavage and polyadenylation specificity factor subunit 7 isoform 3 [Homo sapiens]	3	0.2997180	0.2520418
EIF4A2	gi|217035152|gn|IMPDH1:3614| inosine-5'-monophosphate dehydrogenase 1 isoform d [Homo sapiens]	3	0.0000019	0.7232097
MEPCE	gi|217035152|gn|IMPDH1:3614| inosine-5'-monophosphate dehydrogenase 1 isoform d [Homo sapiens]	3	0.0006556	0.6191745
EIF4A2	gi|217330646|gn|SUB1:10923| activated RNA polymerase II transcriptional coactivator p15 [Homo sapiens]	3	0.0000208	0.6989284
MEPCE	gi|217330646|gn|SUB1:10923| activated RNA polymerase II transcriptional coactivator p15 [Homo sapiens]	3	0.0053275	0.5502439
EIF4A2	gi|21735621|gn|MDH2:4191| malate dehydrogenase, mitochondrial precursor [Homo sapiens]	3	0.0006607	0.6182747
MEPCE	gi|21735621|gn|MDH2:4191| malate dehydrogenase, mitochondrial precursor [Homo sapiens]	3	0.0378406	0.4468518
EIF4A2	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	0.3422290	0.2034677
MEPCE	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	0.0496694	0.4323858
MEPCE	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	0.0834724	0.3912757
EIF4A2	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	0.0000012	0.7263790
MEPCE	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	0.0000056	0.7141347
EIF4A2	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	0.0026906	0.5768649
MEPCE	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	0.6657673	0.0747226
EIF4A2	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	0.2192826	0.2875624
EIF4A2	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	0.3441458	0.2002364
MEPCE	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	0.3360983	0.2179094
MEPCE	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	0.0000005	0.7303810
MEPCE	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	0.0000115	0.7077910
EIF4A2	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	0.0004810	0.6266565
MEPCE	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	0.3313240	0.2333383
EIF4A2	gi|22202633|gn|PFDN5:5204| prefoldin subunit 5 isoform alpha [Homo sapiens]	3	0.3416115	0.2047519
MEPCE	gi|22202633|gn|PFDN5:5204| prefoldin subunit 5 isoform alpha [Homo sapiens]	3	0.0213091	0.4823294
EIF4A2	gi|22202637|gn|PFDN5:5204| prefoldin subunit 5 isoform gamma [Homo sapiens]	3	0.3940697	0.1633158
MEPCE	gi|22202637|gn|PFDN5:5204| prefoldin subunit 5 isoform gamma [Homo sapiens]	3	0.2224287	0.2858218
EIF4A2	gi|22208967|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform a [Homo sapiens]	3	0.0002160	0.6476403
MEPCE	gi|22208967|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform a [Homo sapiens]	3	0.0045229	0.5578696
EIF4A2	gi|22208979|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform b [Homo sapiens]	3	0.0026264	0.5779656
MEPCE	gi|22208979|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform b [Homo sapiens]	3	0.0085339	0.5223131
EIF4A2	gi|222136639|gn|MTHFD1:4522| C-1-tetrahydrofolate synthase, cytoplasmic [Homo sapiens]	3	0.0000275	0.6945096
MEPCE	gi|222136639|gn|MTHFD1:4522| C-1-tetrahydrofolate synthase, cytoplasmic [Homo sapiens]	3	0.0002449	0.6441442
EIF4A2	gi|222144262|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 3 [Homo sapiens]	3	0.0000126	0.7064616
MEPCE	gi|222144262|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 3 [Homo sapiens]	3	0.0000340	0.6902569
EIF4A2	gi|222144326|gn|MYL12B:103910| myosin regulatory light chain 12B [Homo sapiens]	3	0.0010493	0.6095131
MEPCE	gi|222144326|gn|MYL12B:103910| myosin regulatory light chain 12B [Homo sapiens]	3	0.0007466	0.6153211
EIF4A2	gi|222352151|gn|PCBP1:5093| poly(rC)-binding protein 1 [Homo sapiens]	3	0.5316262	0.1201664
MEPCE	gi|222352151|gn|PCBP1:5093| poly(rC)-binding protein 1 [Homo sapiens]	3	0.3416121	0.2041102
EIF4A2	gi|222352164|gn|NELL1:4745| protein kinase C-binding protein NELL1 isoform 1 precursor [Homo sapiens]	3	0.9147667	0.0040220
MEPCE	gi|222352164|gn|NELL1:4745| protein kinase C-binding protein NELL1 isoform 1 precursor [Homo sapiens]	3	0.0701066	0.4037671
EIF4A2	gi|223029410|gn|TLN1:7094| talin-1 [Homo sapiens]	3	0.0000092	0.7106737
MEPCE	gi|223029410|gn|TLN1:7094| talin-1 [Homo sapiens]	3	0.0000564	0.6785295
EIF4A2	gi|223278379|gn|RRP12:23223| RRP12-like protein isoform 1 [Homo sapiens]	3	0.0000036	0.7185000
MEPCE	gi|223278379|gn|RRP12:23223| RRP12-like protein isoform 1 [Homo sapiens]	3	0.0142861	0.4998268
EIF4A2	gi|223555917|gn|MTDH:92140| protein LYRIC [Homo sapiens]	3	0.1017372	0.3753821
MEPCE	gi|223555917|gn|MTDH:92140| protein LYRIC [Homo sapiens]	3	0.8451852	0.0105728
EIF4A2	gi|223555975|gn|TPM4:7171| tropomyosin alpha-4 chain isoform 1 [Homo sapiens]	3	0.0079408	0.5271388
MEPCE	gi|223555975|gn|TPM4:7171| tropomyosin alpha-4 chain isoform 1 [Homo sapiens]	3	0.0001786	0.6508799
EIF4A2	gi|224028246|gn|NONO:4841| non-POU domain-containing octamer-binding protein isoform 1 [Homo sapiens]	3	0.8998310	0.0047413
MEPCE	gi|224028246|gn|NONO:4841| non-POU domain-containing octamer-binding protein isoform 1 [Homo sapiens]	3	0.1856682	0.3104184
EIF4A2	gi|224451142|gn|STMN1:3925| stathmin isoform b [Homo sapiens]	3	0.0560236	0.4226024
MEPCE	gi|224451142|gn|STMN1:3925| stathmin isoform b [Homo sapiens]	3	0.4283417	0.1497348
EIF4A2	gi|224493972|gn|TXNDC5:81567| thioredoxin domain-containing protein 5 isoform 3 [Homo sapiens]	3	0.1883851	0.3087219
MEPCE	gi|224493972|gn|TXNDC5:81567| thioredoxin domain-containing protein 5 isoform 3 [Homo sapiens]	3	0.2177560	0.2892983
EIF4A2	gi|224549005|gn|RBM17:84991| splicing factor 45 [Homo sapiens]	3	0.0945930	0.3800396
MEPCE	gi|224549005|gn|RBM17:84991| splicing factor 45 [Homo sapiens]	3	0.3351842	0.2203447
EIF4A2	gi|224586882|gn|CSDA:8531| DNA-binding protein A isoform a [Homo sapiens]	3	0.8712141	0.0078405
MEPCE	gi|224586882|gn|CSDA:8531| DNA-binding protein A isoform a [Homo sapiens]	3	0.8237927	0.0120919
EIF4A2	gi|224586884|gn|CSDA:8531| DNA-binding protein A isoform b [Homo sapiens]	3	0.4660920	0.1351654
MEPCE	gi|224586884|gn|CSDA:8531| DNA-binding protein A isoform b [Homo sapiens]	3	0.6027216	0.1027679
EIF4A2	gi|224809327|gn|FKBP5:2289| peptidyl-prolyl cis-trans isomerase FKBP5 isoform 1 [Homo sapiens]	3	0.0009831	0.6104538
MEPCE	gi|224809327|gn|FKBP5:2289| peptidyl-prolyl cis-trans isomerase FKBP5 isoform 1 [Homo sapiens]	3	0.0152198	0.4971705
EIF4A2	gi|224831253|gn|OPA1:4976| dynamin-like 120 kDa protein, mitochondrial isoform 8 [Homo sapiens]	3	0.0047062	0.5566661
MEPCE	gi|224831253|gn|OPA1:4976| dynamin-like 120 kDa protein, mitochondrial isoform 8 [Homo sapiens]	3	0.0072486	0.5325402
EIF4A2	gi|22538465|gn|PSMB3:5691| proteasome subunit beta type-3 [Homo sapiens]	3	0.0000542	0.6794875
MEPCE	gi|22538465|gn|PSMB3:5691| proteasome subunit beta type-3 [Homo sapiens]	3	0.0000380	0.6881613
EIF4A2	gi|22538467|gn|PSMB4:5692| proteasome subunit beta type-4 [Homo sapiens]	3	0.0002036	0.6482163
MEPCE	gi|22538467|gn|PSMB4:5692| proteasome subunit beta type-4 [Homo sapiens]	3	0.0000370	0.6886127
EIF4A2	gi|225543215|gn|MKI67:4288| antigen KI-67 isoform 2 [Homo sapiens]	3	0.9869797	0.0005559
MEPCE	gi|225543215|gn|MKI67:4288| antigen KI-67 isoform 2 [Homo sapiens]	3	0.3482344	0.1943378
EIF4A2	gi|225543288|gn|SAE1:10055| SUMO-activating enzyme subunit 1 isoform c [Homo sapiens]	3	0.0000629	0.6759466
MEPCE	gi|225543288|gn|SAE1:10055| SUMO-activating enzyme subunit 1 isoform c [Homo sapiens]	3	0.0000075	0.7123505
EIF4A2	gi|225579074|gn|SARS2:54938| serine--tRNA ligase, mitochondrial isoform a precursor [Homo sapiens]	3	0.0096335	0.5173947
MEPCE	gi|225579074|gn|SARS2:54938| serine--tRNA ligase, mitochondrial isoform a precursor [Homo sapiens]	3	0.0431953	0.4414872
EIF4A2	gi|225690604|gn|SNCA:6622| alpha-synuclein isoform NACP140 [Homo sapiens]	3	0.0029746	0.5738090
MEPCE	gi|225690604|gn|SNCA:6622| alpha-synuclein isoform NACP140 [Homo sapiens]	3	0.6811270	0.0415277
EIF4A2	gi|226246671|gn|RPS20:6224| 40S ribosomal protein S20 isoform 1 [Homo sapiens]	3	0.8775957	0.0072244
MEPCE	gi|226246671|gn|RPS20:6224| 40S ribosomal protein S20 isoform 1 [Homo sapiens]	3	0.9999994	0.0000000
EIF4A2	gi|226371618|gn|SRP54:6729| signal recognition particle 54 kDa protein isoform 2 [Homo sapiens]	3	0.9999233	0.0000028
MEPCE	gi|226371618|gn|SRP54:6729| signal recognition particle 54 kDa protein isoform 2 [Homo sapiens]	3	0.0022528	0.5831190
EIF4A2	gi|226371750|gn|TUT1:64852| speckle targeted PIP5K1A-regulated poly(A) polymerase [Homo sapiens]	3	0.6567985	0.0794121
MEPCE	gi|226371750|gn|TUT1:64852| speckle targeted PIP5K1A-regulated poly(A) polymerase [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|226371754|gn|KATNAL2:83473| katanin p60 ATPase-containing subunit A-like 2 [Homo sapiens]	3	0.0000395	0.6878596
MEPCE	gi|226371754|gn|KATNAL2:83473| katanin p60 ATPase-containing subunit A-like 2 [Homo sapiens]	3	0.0001904	0.6495531
EIF4A2	gi|22748747|gn|LSM12:124801| protein LSM12 homolog [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|22748747|gn|LSM12:124801| protein LSM12 homolog [Homo sapiens]	3	0.1697674	0.3183138
EIF4A2	gi|228008291|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 1 [Homo sapiens]	3	0.9999762	0.0000004
MEPCE	gi|228008291|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 1 [Homo sapiens]	3	0.9999958	0.0000001
EIF4A2	gi|228008400|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 6 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|228008400|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 6 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|23110925|gn|PSMB6:5694| proteasome subunit beta type-6 isoform 1 proprotein [Homo sapiens]	3	0.0000442	0.6848103
MEPCE	gi|23110925|gn|PSMB6:5694| proteasome subunit beta type-6 isoform 1 proprotein [Homo sapiens]	3	0.0014588	0.6005946
EIF4A2	gi|23110935|gn|PSMA1:5682| proteasome subunit alpha type-1 isoform 1 [Homo sapiens]	3	0.0000268	0.6947986
MEPCE	gi|23110935|gn|PSMA1:5682| proteasome subunit alpha type-1 isoform 1 [Homo sapiens]	3	0.0000596	0.6772432
EIF4A2	gi|23110939|gn|PSMA3:5684| proteasome subunit alpha type-3 isoform 2 [Homo sapiens]	3	0.0000720	0.6739820
MEPCE	gi|23110939|gn|PSMA3:5684| proteasome subunit alpha type-3 isoform 2 [Homo sapiens]	3	0.0000617	0.6765962
EIF4A2	gi|23110942|gn|PSMA5:5686| proteasome subunit alpha type-5 isoform 1 [Homo sapiens]	3	0.0000851	0.6698119
MEPCE	gi|23110942|gn|PSMA5:5686| proteasome subunit alpha type-5 isoform 1 [Homo sapiens]	3	0.0000457	0.6843477
EIF4A2	gi|23110944|gn|PSMA6:5687| proteasome subunit alpha type-6 [Homo sapiens]	3	0.0005584	0.6233918
MEPCE	gi|23110944|gn|PSMA6:5687| proteasome subunit alpha type-6 [Homo sapiens]	3	0.0000301	0.6929103
EIF4A2	gi|23308577|gn|PHGDH:26227| D-3-phosphoglycerate dehydrogenase [Homo sapiens]	3	0.0000428	0.6852714
MEPCE	gi|23308577|gn|PHGDH:26227| D-3-phosphoglycerate dehydrogenase [Homo sapiens]	3	0.0000056	0.7142613
EIF4A2	gi|23397429|gn|EIF3M:10480| eukaryotic translation initiation factor 3 subunit M [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|23397429|gn|EIF3M:10480| eukaryotic translation initiation factor 3 subunit M [Homo sapiens]	3	0.1321805	0.3461274
EIF4A2	gi|23503295|gn|CSNK2B:1460| casein kinase II subunit beta [Homo sapiens]	3	0.6049263	0.1000718
MEPCE	gi|23503295|gn|CSNK2B:1460| casein kinase II subunit beta [Homo sapiens]	3	0.3902332	0.1674021
EIF4A2	gi|23510283|gn|ELP3:55140| elongator complex protein 3 [Homo sapiens]	3	0.0001560	0.6551695
MEPCE	gi|23510283|gn|ELP3:55140| elongator complex protein 3 [Homo sapiens]	3	0.0000259	0.6952311
EIF4A2	gi|23510340|gn|UBA1:7317| ubiquitin-like modifier-activating enzyme 1 [Homo sapiens]	3	0.0014794	0.6003480
MEPCE	gi|23510340|gn|UBA1:7317| ubiquitin-like modifier-activating enzyme 1 [Homo sapiens]	3	0.0002609	0.6419735
EIF4A2	gi|23510356|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 1 [Homo sapiens]	3	0.1310171	0.3477633
MEPCE	gi|23510356|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 1 [Homo sapiens]	3	0.9991210	0.0000509
EIF4A2	gi|23510358|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 2 [Homo sapiens]	3	0.0001167	0.6622077
MEPCE	gi|23510358|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 2 [Homo sapiens]	3	0.6374967	0.0872590
EIF4A2	gi|23510448|gn|MCM5:4174| DNA replication licensing factor MCM5 [Homo sapiens]	3	0.0000691	0.6748035
MEPCE	gi|23510448|gn|MCM5:4174| DNA replication licensing factor MCM5 [Homo sapiens]	3	0.0000245	0.6959491
EIF4A2	gi|237649015|gn|EBNA1BP2:10969| probable rRNA-processing protein EBP2 isoform 2 [Homo sapiens]	3	0.4023844	0.1585271
MEPCE	gi|237649015|gn|EBNA1BP2:10969| probable rRNA-processing protein EBP2 isoform 2 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|237649049|gn|SNRPD2:6633| small nuclear ribonucleoprotein Sm D2 isoform 2 [Homo sapiens]	3	0.0043798	0.5587682
MEPCE	gi|237649049|gn|SNRPD2:6633| small nuclear ribonucleoprotein Sm D2 isoform 2 [Homo sapiens]	3	0.0000716	0.6743111
EIF4A2	gi|237681109|gn|ATP1A1:476| sodium/potassium-transporting ATPase subunit alpha-1 isoform c [Homo sapiens]	3	0.0000654	0.6754576
MEPCE	gi|237681109|gn|ATP1A1:476| sodium/potassium-transporting ATPase subunit alpha-1 isoform c [Homo sapiens]	3	0.0065282	0.5381519
EIF4A2	gi|238624257|gn|IGF2BP1:10642| insulin-like growth factor 2 mRNA-binding protein 1 isoform 2 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|238624257|gn|IGF2BP1:10642| insulin-like growth factor 2 mRNA-binding protein 1 isoform 2 [Homo sapiens]	3	0.6993644	0.0346599
EIF4A2	gi|238776833|gn|ALYREF:10189| THO complex subunit 4 [Homo sapiens]	3	0.0007046	0.6164624
MEPCE	gi|238776833|gn|ALYREF:10189| THO complex subunit 4 [Homo sapiens]	3	0.4519740	0.1417731
EIF4A2	gi|239937451|gn|AHCY:191| adenosylhomocysteinase isoform 2 [Homo sapiens]	3	0.3390368	0.2079389
MEPCE	gi|239937451|gn|AHCY:191| adenosylhomocysteinase isoform 2 [Homo sapiens]	3	0.0003996	0.6305008
EIF4A2	gi|241982780|gn|PDCD6IP:10015| programmed cell death 6-interacting protein isoform 2 [Homo sapiens]	3	0.0070308	0.5348667
MEPCE	gi|241982780|gn|PDCD6IP:10015| programmed cell death 6-interacting protein isoform 2 [Homo sapiens]	3	0.6677177	0.0604159
EIF4A2	gi|242117893|gn|BAX:581| apoptosis regulator BAX isoform sigma [Homo sapiens]	3	0.3373549	0.2135944
MEPCE	gi|242117893|gn|BAX:581| apoptosis regulator BAX isoform sigma [Homo sapiens]	3	0.0054662	0.5483756
EIF4A2	gi|242117971|gn|RBMXL1:494115| RNA binding motif protein, X-linked-like-1 [Homo sapiens]	3	0.1054939	0.3722682
MEPCE	gi|242117971|gn|RBMXL1:494115| RNA binding motif protein, X-linked-like-1 [Homo sapiens]	3	0.5900069	0.1059870
EIF4A2	gi|242247001|gn|CLTCL1:8218| clathrin heavy chain 2 isoform 2 [Homo sapiens]	3	0.0002012	0.6487905
MEPCE	gi|242247001|gn|CLTCL1:8218| clathrin heavy chain 2 isoform 2 [Homo sapiens]	3	0.0016856	0.5945935
EIF4A2	gi|24234683|gn|USP11:8237| ubiquitin carboxyl-terminal hydrolase 11 [Homo sapiens]	3	0.3686825	0.1789148
MEPCE	gi|24234683|gn|USP11:8237| ubiquitin carboxyl-terminal hydrolase 11 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|24234686|gn|HSPA8:3312| heat shock cognate 71 kDa protein isoform 2 [Homo sapiens]	3	0.0000010	0.7276495
MEPCE	gi|24234686|gn|HSPA8:3312| heat shock cognate 71 kDa protein isoform 2 [Homo sapiens]	3	0.0000000	0.7362231
EIF4A2	gi|24234688|gn|HSPA9:3313| stress-70 protein, mitochondrial precursor [Homo sapiens]	3	0.0000978	0.6662257
MEPCE	gi|24234688|gn|HSPA9:3313| stress-70 protein, mitochondrial precursor [Homo sapiens]	3	0.0001333	0.6597144
EIF4A2	gi|24234690|gn|MRE11A:4361| double-strand break repair protein MRE11A isoform 2 [Homo sapiens]	3	0.3574102	0.1856516
MEPCE	gi|24234690|gn|MRE11A:4361| double-strand break repair protein MRE11A isoform 2 [Homo sapiens]	3	0.6856162	0.0402690
EIF4A2	gi|24234699|gn|KRT19:3880| keratin, type I cytoskeletal 19 [Homo sapiens]	3	0.2520325	0.2713717
MEPCE	gi|24234699|gn|KRT19:3880| keratin, type I cytoskeletal 19 [Homo sapiens]	3	0.5661657	0.1131830
EIF4A2	gi|24307919|gn|SNRNP27:11017| U4/U6	3	0.0000050	0.7156466
MEPCE	gi|24307919|gn|SNRNP27:11017| U4/U6	3	0.0570272	0.4216579
EIF4A2	gi|24307939|gn|CCT5:22948| T-complex protein 1 subunit epsilon [Homo sapiens]	3	0.0000035	0.7188679
MEPCE	gi|24307939|gn|CCT5:22948| T-complex protein 1 subunit epsilon [Homo sapiens]	3	0.0000037	0.7182541
EIF4A2	gi|24307971|gn|STK38L:23012| serine/threonine-protein kinase 38-like [Homo sapiens]	3	0.0000098	0.7096320
MEPCE	gi|24307971|gn|STK38L:23012| serine/threonine-protein kinase 38-like [Homo sapiens]	3	0.0000132	0.7057924
EIF4A2	gi|24308207|gn|LRRC47:57470| leucine-rich repeat-containing protein 47 [Homo sapiens]	3	0.1279273	0.3510187
MEPCE	gi|24308207|gn|LRRC47:57470| leucine-rich repeat-containing protein 47 [Homo sapiens]	3	0.0426045	0.4428343
EIF4A2	gi|24308295|gn|GRPEL1:80273| grpE protein homolog 1, mitochondrial precursor [Homo sapiens]	3	0.0588947	0.4188088
MEPCE	gi|24308295|gn|GRPEL1:80273| grpE protein homolog 1, mitochondrial precursor [Homo sapiens]	3	0.0749521	0.3987982
EIF4A2	gi|24430149|gn|NUP155:9631| nuclear pore complex protein Nup155 isoform 1 [Homo sapiens]	3	0.0022415	0.5833869
MEPCE	gi|24430149|gn|NUP155:9631| nuclear pore complex protein Nup155 isoform 1 [Homo sapiens]	3	0.0094657	0.5181028
EIF4A2	gi|24430151|gn|PSMC1:5700| 26S protease regulatory subunit 4 [Homo sapiens]	3	0.0012494	0.6030441
MEPCE	gi|24430151|gn|PSMC1:5700| 26S protease regulatory subunit 4 [Homo sapiens]	3	0.0000014	0.7253307
EIF4A2	gi|24430155|gn|PSMC4:5704| 26S protease regulatory subunit 6B isoform 2 [Homo sapiens]	3	0.0001080	0.6634408
MEPCE	gi|24430155|gn|PSMC4:5704| 26S protease regulatory subunit 6B isoform 2 [Homo sapiens]	3	0.0000182	0.7011594
EIF4A2	gi|24430190|gn|KRT15:3866| keratin, type I cytoskeletal 15 [Homo sapiens]	3	0.0266156	0.4692540
MEPCE	gi|24430190|gn|KRT15:3866| keratin, type I cytoskeletal 15 [Homo sapiens]	3	0.0353006	0.4521530
EIF4A2	gi|24432106|gn|KIAA1967:57805| DBIRD complex subunit KIAA1967 [Homo sapiens]	3	0.9999995	0.0000000
MEPCE	gi|24432106|gn|KIAA1967:57805| DBIRD complex subunit KIAA1967 [Homo sapiens]	3	0.6660500	0.0720817
EIF4A2	gi|24475847|gn|IVNS1ABP:10625| influenza virus NS1A-binding protein [Homo sapiens]	3	0.0005674	0.6231721
MEPCE	gi|24475847|gn|IVNS1ABP:10625| influenza virus NS1A-binding protein [Homo sapiens]	3	0.5499131	0.1160603
EIF4A2	gi|24497609|gn|NUP62:23636| nuclear pore glycoprotein p62 [Homo sapiens]	3	0.0036980	0.5637967
MEPCE	gi|24497609|gn|NUP62:23636| nuclear pore glycoprotein p62 [Homo sapiens]	3	0.0050495	0.5542404
EIF4A2	gi|24638454|gn|ATP2A2:488| sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform b [Homo sapiens]	3	0.0073595	0.5315364
MEPCE	gi|24638454|gn|ATP2A2:488| sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform b [Homo sapiens]	3	0.0269067	0.4688369
EIF4A2	gi|24762236|gn|PRPF38A:84950| pre-mRNA-splicing factor 38A [Homo sapiens]	3	0.0000301	0.6926178
MEPCE	gi|24762236|gn|PRPF38A:84950| pre-mRNA-splicing factor 38A [Homo sapiens]	3	0.0000775	0.6724929
EIF4A2	gi|24797086|gn|IPO5:3843| importin-5 [Homo sapiens]	3	0.3359220	0.2185204
MEPCE	gi|24797086|gn|IPO5:3843| importin-5 [Homo sapiens]	3	0.0027050	0.5765888
EIF4A2	gi|25121987|gn|NCAPH:23397| condensin complex subunit 2 [Homo sapiens]	3	0.0060586	0.5420380
MEPCE	gi|25121987|gn|NCAPH:23397| condensin complex subunit 2 [Homo sapiens]	3	0.0235274	0.4758600
EIF4A2	gi|25121993|gn|MSI2:124540| RNA-binding protein Musashi homolog 2 isoform b [Homo sapiens]	3	0.6726388	0.0496743
MEPCE	gi|25121993|gn|MSI2:124540| RNA-binding protein Musashi homolog 2 isoform b [Homo sapiens]	3	0.6683636	0.0586723
EIF4A2	gi|253970456|gn|HTATSF1:27336| HIV Tat-specific factor 1 [Homo sapiens]	3	0.0006453	0.6196229
MEPCE	gi|253970456|gn|HTATSF1:27336| HIV Tat-specific factor 1 [Homo sapiens]	3	0.0070686	0.5342043
EIF4A2	gi|253970500|gn|EWSR1:2130| RNA-binding protein EWS isoform 1 [Homo sapiens]	3	0.0000531	0.6801230
MEPCE	gi|253970500|gn|EWSR1:2130| RNA-binding protein EWS isoform 1 [Homo sapiens]	3	0.0024719	0.5798784
EIF4A2	gi|254692934|gn|GTF2I:2969| general transcription factor II-I isoform 5 [Homo sapiens]	3	0.0000074	0.7124787
MEPCE	gi|254692934|gn|GTF2I:2969| general transcription factor II-I isoform 5 [Homo sapiens]	3	0.0001015	0.6655338
EIF4A2	gi|25470886|gn|DAZAP1:26528| DAZ-associated protein 1 isoform b [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|25470886|gn|DAZAP1:26528| DAZ-associated protein 1 isoform b [Homo sapiens]	3	0.3463226	0.1956572
EIF4A2	gi|256222415|gn|FLNB:2317| filamin-B isoform 4 [Homo sapiens]	3	0.0081579	0.5247377
MEPCE	gi|256222415|gn|FLNB:2317| filamin-B isoform 4 [Homo sapiens]	3	0.2926342	0.2576971
EIF4A2	gi|256818796|gn|EIF4ENIF1:56478| eukaryotic translation initiation factor 4E transporter isoform a [Homo sapiens]	3	0.0000023	0.7217774
MEPCE	gi|256818796|gn|EIF4ENIF1:56478| eukaryotic translation initiation factor 4E transporter isoform a [Homo sapiens]	3	0.0000000	0.7365462
EIF4A2	gi|25777602|gn|PSMD2:5708| 26S proteasome non-ATPase regulatory subunit 2 [Homo sapiens]	3	0.0000690	0.6749672
MEPCE	gi|25777602|gn|PSMD2:5708| 26S proteasome non-ATPase regulatory subunit 2 [Homo sapiens]	3	0.0000008	0.7284519
EIF4A2	gi|25777612|gn|PSMD3:5709| 26S proteasome non-ATPase regulatory subunit 3 [Homo sapiens]	3	0.0000113	0.7080554
